company,url
Softtek,"https://www.glassdoor.com.mx/Reviews/Softtek-Mexico-Reviews-EI_IE108072.0,7_IL.8,14_IN169.htm"
NEORIS,"https://www.glassdoor.com.mx/Evaluaciones/NEORIS-Evaluaciones-E21367.htm"
Tata Consultancy Services,"https://www.glassdoor.com.mx/Reviews/Tata-Consultancy-Services-Reviews-E13461.htm"
Chubb,"https://www.glassdoor.com.mx/Evaluaciones/Chubb-Evaluaciones-E150.htm"
Infosys,"https://www.glassdoor.com.mx/Evaluaciones/Infosys-Evaluaciones-E7927.htm"
Oracle,"https://www.glassdoor.com.mx/Evaluaciones/Oracle-Evaluaciones-E1737.htm"
IBM,"https://www.glassdoor.com.mx/Evaluaciones/IBM-Evaluaciones-E354.htm"
Apex Systems,"https://www.glassdoor.com.mx/Evaluaciones/Apex-Systems-Evaluaciones-E13916.htm"
Intel Corporation,"https://www.glassdoor.com/Reviews/Intel-Corporation-Reviews-E1519.htm"
Luxoft,"https://www.glassdoor.com.mx/Evaluaciones/Luxoft-Evaluaciones-E116344.htm"
Google,"https://www.glassdoor.com/Evaluaciones/Google-Evaluaciones-E9079.htm?countryPickerRedirect=true"
Meta,"https://www.glassdoor.com/Evaluaciones/Meta-Evaluaciones-E40772.htm?countryPickerRedirect=true"
Uber,"https://www.glassdoor.com/Evaluaciones/Uber-Evaluaciones-E575263.htm?countryPickerRedirect=true"
Salesforce,"https://www.glassdoor.com/Evaluaciones/Salesforce-Evaluaciones-E11159.htm?countryPickerRedirect=true"
Airbnb,"https://www.glassdoor.com/Evaluaciones/Airbnb-Evaluaciones-E391850.htm?countryPickerRedirect=true"
